Course Id,Course_Title,Is_Paid,Level,Published_Date,Subject,Content_Duration_hours,Num_Lectures,Price_USD,Reviews,Students
1070968,Ultimate Investment Banking Course,Paid,All Levels,18/01/17,Business Finance,0.045138889,51,200,23,2147
1113822,Complete GST Course & Certification - Grow Your CA Practice,Paid,All Levels,09/03/17,Business Finance,39.0,274,75,923,2792
1006314,Financial Modeling for Business Analysts and Consultants,Paid,Intermediate Level,19/12/16,Business Finance,2.5,51,45,74,2174
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Paid,All Levels,30/05/17,Business Finance,3.0,36,95,11,2451
1011058,How To Maximize Your Profits Trading Options,Paid,Intermediate Level,13/12/16,Business Finance,2.0,26,200,45,1276
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Paid,All Levels,02/05/14,Business Finance,3.0,25,150,138,9221
739964,Investing And Trading For Beginners: Mastering Price Charts,Paid,Beginner Level,21/02/16,Business Finance,1.0,26,65,178,1540
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Paid,All Levels,30/01/15,Business Finance,2.5,23,95,148,2917
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Paid,Expert Level,27/05/15,Business Finance,2.5,38,195,34,5172
1167710,The Only Investment Strategy You Need For Your Retirement,Paid,All Levels,18/04/17,Business Finance,1.0,15,200,14,827
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Paid,All Levels,11/09/15,Business Finance,5.0,76,200,93,4284
975046,Trading Options With Money Flow,Paid,All Levels,18/10/16,Business Finance,1.0,17,200,42,1380
742602,Financial Management Risk and Return For Securities,Paid,All Levels,03/02/16,Business Finance,1.5,19,30,21,3607
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Paid,All Levels,16/03/16,Business Finance,2.0,16,195,52,4061
1196544,Python Algo Trading: Sentiment Trading with News,Paid,All Levels,28/04/17,Business Finance,7.0,42,200,19,294
504036,Short Selling: Learn To Sell Stocks Before The Fall,Paid,Intermediate Level,22/06/15,Business Finance,1.5,19,75,106,2276
719698,Basic Technical Analysis: Learn the structure of the market,Paid,Beginner Level,08/01/16,Business Finance,1.5,16,20,79,4919
564966,The Complete Chart Pattern Trading Course: A Proven Approach,Paid,All Levels,10/08/15,Business Finance,4.0,52,200,115,2666
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Paid,All Levels,21/09/15,Business Finance,1.5,23,50,24,5354
58977,Financial Statements Made Easy,Paid,Beginner Level,08/06/13,Business Finance,0.583333333,12,95,249,8095
1242604,Winning Forex Trading with Live Forex Trading Examples,Paid,All Levels,05/06/17,Business Finance,2.0,25,200,3,809
798740,Forex Traders - Create Your First Trading Robot. No Coding!,Paid,All Levels,02/05/16,Business Finance,4.0,39,200,84,2295
506568,Create A Business From Home Trading Stocks Today In 2017,Paid,All Levels,26/05/15,Business Finance,2.0,16,75,83,10149
1020760,Introduction to Accounting : Mastering Financial Statements,Paid,Beginner Level,05/12/16,Business Finance,1.0,23,50,38,1916
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,Paid,All Levels,30/05/16,Business Finance,2.0,40,45,333,2507
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Paid,All Levels,31/01/15,Business Finance,5.0,50,150,518,5786
353044,Investing 101: The Complete Online Investing Course,Paid,All Levels,28/11/14,Business Finance,4.5,42,200,373,5334
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Paid,Intermediate Level,12/04/15,Business Finance,2.0,25,175,237,4005
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Paid,All Levels,26/04/16,Business Finance,4.5,81,150,103,2877
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,Paid,Beginner Level,27/06/17,Business Finance,3.0,37,140,25,1026
1170894,Python Algo Stock Trading: Automate Your Trading!,Paid,Beginner Level,28/05/17,Business Finance,2.5,41,95,21,1165
948974,THE Forex Robot: Incredible ROI (Robot Included),Paid,All Levels,04/10/16,Business Finance,1.5,35,200,171,1843
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Paid,All Levels,08/01/15,Business Finance,6.5,80,45,449,8797
1217778,Mastering High Probability Iron Condor Options Trading,Paid,All Levels,31/05/17,Business Finance,2.0,22,200,11,1030
1246208,The Complete Short Course on Ethereum,Paid,All Levels,11/06/17,Business Finance,1.5,28,200,12,1041
434774,Options Trading Stocks: Proven Toolbox For Financial Success,Paid,Intermediate Level,19/05/15,Business Finance,10.0,68,195,118,7884
308690,Forex Trading A-Zâ„¢ - With LIVE Examples of Forex Trading,Paid,Beginner Level,12/12/14,Business Finance,5.5,52,195,2476,16900
888716,"Introduction to Finance, Accounting, Modeling and Valuation",Paid,All Levels,27/06/16,Business Finance,4.5,61,200,1118,11441
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,Paid,All Levels,25/11/14,Business Finance,7.5,138,195,2697,22257
965832,The Complete Investment Banking Course 2017,Paid,All Levels,10/10/16,Business Finance,5.5,110,195,809,8575
648826,The Complete Financial Analyst Course 2017,Paid,All Levels,20/01/16,Business Finance,10.0,174,195,2347,24481
1035472,Python for Finance: Investment Fundamentals & Data Analytics,Paid,All Levels,30/03/17,Business Finance,6.5,103,195,278,3811
1154754,Financial Modeling for Startups & Small Businesses,Paid,Beginner Level,29/03/17,Business Finance,11.5,79,195,137,4991
627540,Options Trading - How to Win with Weekly Options,Paid,Intermediate Level,22/10/15,Business Finance,1.0,25,115,1190,7489
301442,Black Algo Trading: Build Your Trading Robot,Paid,All Levels,27/10/14,Business Finance,16.0,227,200,1113,20195
640100,Accounting & Financial Statement Analysis: Complete Training,Paid,All Levels,21/10/15,Business Finance,3.0,43,150,594,10042
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,Paid,All Levels,21/06/17,Business Finance,5.0,35,95,42,367
